;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;join;1075;1.3198443197583765;4667;5.729965990988226
1;fight;668;0.8201451214870654;2182;2.678977028570025
2;support;553;0.6789524733268671;2296;2.818941914572309
3;vote;404;0.4960159117975666;1889;2.319242716300998
4;demand;242;0.29711844221537403;1578;1.937408685189505
5;strike;230;0.2823852963203968;752;0.9232771427519061
6;action;249;0.3057127773207774;793;0.9736153912264116
7;protest;193;0.2369580964775504;701;0.860661272698253
8;donate;112;0.13750936168645408;708;0.8692556078036562
9;act;128;0.1571535562130904;449;0.5512652089037312
10;activist;104;0.12768726442313597;268;0.329040258321158
11;voting;52;0.06384363221156798;234;0.2872963449520559
12;rise;52;0.06384363221156798;131;0.1608368426868347
13;abolish;31;0.03806062689535783;120;0.14733145894977223
14;organize_workplace;8;0.00982209726331815;124;0.15224250758143132
15;build_movement;26;0.03192181610578399;99;0.1215484536335621
16;grassroots;20;0.024555243158295374;81;0.09944873479109627
17;trysocialism;19;0.023327481000380606;78;0.09576544831735195
18;build_mass;14;0.01718867021080676;57;0.06998244300114183
19;occupy;17;0.02087195668455107;50;0.06138810789573844
20;condemn_public;0;0.0;64;0.0785767781065452
21;demonstration;26;0.03192181610578399;35;0.04297167552701691
22;unionize;6;0.007366572947488613;56;0.06875468084322704
23;mass_movement;14;0.01718867021080676;43;0.05279377279033506
24;grassroot;11;0.013505383737062455;35;0.04297167552701691
25;hunger_strike;1;0.0012277621579147688;40;0.04911048631659075
26;collective_action;2;0.0024555243158295376;36;0.044199437684931675
27;votesocialist;0;0.0;37;0.04542719984284644
28;democratizecome;2;0.0024555243158295376;29;0.03560510257952829
29;unstoppable;1;0.0012277621579147688;19;0.023327481000380606
30;everybodyorganize;1;0.0012277621579147688;6;0.007366572947488613
31;unleash;3;0.0036832864737443064;4;0.004911048631659075
32;riseup;1;0.0012277621579147688;2;0.0024555243158295376
33;crowdsource;0;0.0;2;0.0024555243158295376
34;hungerstrike;0;0.0;1;0.0012277621579147688
35;jointhemovement;0;0.0;1;0.0012277621579147688
